"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 07 14:51:46 CST 2022","Thu Jul 07 14:52:00 CST 2022","13963","","testLoginAndQuit","TestLoginAndQuit","","","test_login_and_quit[纸张]",""
"passed","Thu Jul 07 14:51:32 CST 2022","Thu Jul 07 14:51:46 CST 2022","13975","","testLoginAndQuit","TestLoginAndQuit","","","test_login_and_quit[橡胶]",""
